"table_name","variable_name","label","data_type","level","count","percent"
"baseline","site_code","Recruiting clinic site in England","categorical","Bristol",549,22.875
"baseline","site_code","Recruiting clinic site in England","categorical","Birmingham",700,29.1666666666667
"baseline","site_code","Recruiting clinic site in England","categorical","Leeds",573,23.875
"baseline","site_code","Recruiting clinic site in England","categorical","Manchester",574,23.9166666666667
"baseline","site_code","Recruiting clinic site in England","categorical","Manchster",4,0.166666666666667
"baseline","sex_at_birth","Recorded sex at birth","binary categorical","Female",1194,49.75
"baseline","sex_at_birth","Recorded sex at birth","binary categorical","Male",1203,50.125
"baseline","sex_at_birth","Recorded sex at birth","binary categorical","female",3,0.125
"baseline","ethnicity_group","Broad ethnicity group","categorical","White",1909,79.5416666666667
"baseline","ethnicity_group","Broad ethnicity group","categorical","Asian",258,10.75
"baseline","ethnicity_group","Broad ethnicity group","categorical","Black",102,4.25
"baseline","ethnicity_group","Broad ethnicity group","categorical","Mixed",62,2.58333333333333
"baseline","ethnicity_group","Broad ethnicity group","categorical","Other",66,2.75
"baseline","ethnicity_group","Broad ethnicity group","categorical","Asain",3,0.125
"baseline","blood_group","ABO blood group","categorical","O",1196,49.8333333333333
"baseline","blood_group","ABO blood group","categorical","A",897,37.375
"baseline","blood_group","ABO blood group","categorical","B",227,9.45833333333333
"baseline","blood_group","ABO blood group","categorical","AB",80,3.33333333333333
"baseline","smoking_status","Current smoking history category","categorical","Never",1268,52.8333333333333
"baseline","smoking_status","Current smoking history category","categorical","Former",795,33.125
"baseline","smoking_status","Current smoking history category","categorical","Current",333,13.875
"baseline","smoking_status","Current smoking history category","categorical","Currnt",4,0.166666666666667
"baseline","inactive_under_30min","Less than 30 minutes of moderate or vigorous activity per week","binary categorical","No",1851,77.125
"baseline","inactive_under_30min","Less than 30 minutes of moderate or vigorous activity per week","binary categorical","Yes",549,22.875
"baseline","family_history_cvd","Family history of cardiovascular disease","binary categorical","No",1698,70.75
"baseline","family_history_cvd","Family history of cardiovascular disease","binary categorical","Yes",702,29.25
"baseline","family_history_diabetes","Family history of diabetes","binary categorical","No",1585,66.0416666666667
"baseline","family_history_diabetes","Family history of diabetes","binary categorical","Yes",815,33.9583333333333
"baseline","obesity","BMI at least 30 kg/m^2","binary categorical","No",1590,66.25
"baseline","obesity","BMI at least 30 kg/m^2","binary categorical","Yes",808,33.6666666666667
"baseline","obesity","BMI at least 30 kg/m^2","binary categorical","Y",1,0.0416666666666667
"baseline","obesity","BMI at least 30 kg/m^2","binary categorical","YES",1,0.0416666666666667
"baseline","high_central_adiposity","Waist-to-height ratio at least 0.6","binary categorical","No",1810,75.4166666666667
"baseline","high_central_adiposity","Waist-to-height ratio at least 0.6","binary categorical","Yes",590,24.5833333333333
"baseline","measured_hypertension","Measured hypertension or antihypertensive treatment","binary categorical","No",999,41.625
"baseline","measured_hypertension","Measured hypertension or antihypertensive treatment","binary categorical","Yes",1401,58.375
"baseline","type2_diabetes","Simulated type 2 diabetes status based on glycaemic profile","binary categorical","No",2204,91.8333333333333
"baseline","type2_diabetes","Simulated type 2 diabetes status based on glycaemic profile","binary categorical","Yes",196,8.16666666666667
"baseline","prediabetes","Prediabetes or non-diabetic hyperglycaemia","binary categorical","No",1665,69.375
"baseline","prediabetes","Prediabetes or non-diabetic hyperglycaemia","binary categorical","Yes",735,30.625
"baseline","raised_total_cholesterol","Total cholesterol at least 5 mmol/L","binary categorical","No",1016,42.3333333333333
"baseline","raised_total_cholesterol","Total cholesterol at least 5 mmol/L","binary categorical","Yes",1384,57.6666666666667
