"table_name","variable_name","label","data_type","units","example_values","suggested_teaching_use"
"baseline","participant_id","Unique participant identifier","identifier","none","BIO00001","Merge baseline and visit tables"
"baseline","site_code","Recruiting clinic site in England","categorical","none","Bristol, Birmingham, Leeds, Manchester","Cross-tabulation, chi-square"
"baseline","imd_quintile","Index of Multiple Deprivation quintile (1 least deprived, 5 most deprived)","ordered integer","quintile","1 to 5","Ordinal analysis, trend tests, regression"
"baseline","recruitment_year","Year of recruitment","integer","year","2024, 2025, 2026","Stratification, trend checks"
"baseline","age_years","Age at recruitment","continuous","years","50 to 90","Descriptives, correlations, regression, mortality risk"
"baseline","sex_at_birth","Recorded sex at birth","binary categorical","none","Female, Male","Proportions, t-tests, regression coding"
"baseline","ethnicity_group","Broad ethnicity group","categorical","none","White, Asian, Black, Mixed, Other","Frequencies, chi-square, ANOVA"
"baseline","blood_group","ABO blood group","categorical","none","O, A, B, AB","Example of a mostly null exposure"
"baseline","smoking_status","Current smoking history category","categorical","none","Never, Former, Current","Contingency tables, ANOVA, regression"
"baseline","alcohol_units_per_week","Self-reported alcohol intake","continuous","units/week","0 to 40","Distributions, transformations"
"baseline","weekly_exercise_min","Weekly moderate exercise time","continuous","minutes/week","0 to 420","Descriptives, non-normal data, regression"
"baseline","inactive_under_30min","Less than 30 minutes of moderate or vigorous activity per week","binary categorical","none","Yes, No","Probability, odds ratios, chi-square"
"baseline","sleep_hours_per_night","Average sleep per night","continuous","hours","4.5 to 9.5","Correlations, missing data"
"baseline","fruit_veg_portions_per_day","Daily fruit and vegetable intake","continuous","portions/day","0.5 to 8.0","Correlations, missing data"
"baseline","family_history_cvd","Family history of cardiovascular disease","binary categorical","none","Yes, No","Odds, logistic regression"
"baseline","family_history_diabetes","Family history of diabetes","binary categorical","none","Yes, No","Odds, logistic regression"
"baseline","height_cm","Standing height","continuous","cm","145 to 200","Approximate normal distribution"
"baseline","weight_kg","Body weight","continuous","kg","45 to 160","Distributions, repeated measures"
"baseline","bmi_kg_m2","Body mass index derived from height and weight","continuous","kg/m^2","20 to 46","Transformations, regression"
"baseline","obesity","BMI at least 30 kg/m^2","binary categorical","none","Yes, No","Odds ratios, logistic regression"
"baseline","waist_cm","Waist circumference","continuous","cm","60 to 145","Correlation, collinearity discussion"
"baseline","waist_to_height_ratio","Waist-to-height ratio","continuous","ratio","0.35 to 0.85","Ratios, derived variables, distributions"
"baseline","high_central_adiposity","Waist-to-height ratio at least 0.6","binary categorical","none","Yes, No","Derived binary outcome"
"baseline","systolic_bp_mmHg","Systolic blood pressure","continuous","mmHg","88 to 195","Parametric tests, linear regression"
"baseline","diastolic_bp_mmHg","Diastolic blood pressure","continuous","mmHg","52 to 120","Parametric tests, linear regression"
"baseline","measured_hypertension","Measured hypertension or antihypertensive treatment","binary categorical","none","Yes, No","Probability, odds, prevalence"
"baseline","resting_heart_rate_bpm","Resting heart rate","continuous","beats/min","48 to 110","Correlations, repeated measures"
"baseline","fasting_glucose_mmol_L","Fasting glucose","continuous","mmol/L","3.6 to 10.2","Distributions, regression"
"baseline","hba1c_mmol_mol","HbA1c glycaemic marker","continuous","mmol/mol","25 to 82","Missing data, regression"
