"metric","value","target_low","target_high","penalty"
"participants",2400,2200,2800,0
"visit_rows",10730,8000,12000,0
"female_proportion",0.49875,0.48,0.54,0
"mean_age",70.64125,68,73,0
"current_smoker_proportion",0.140416666666667,0.07,0.15,0
"inactive_proportion",0.22875,0.23,0.45,0.00125
"mean_bmi",28.2765416666667,27.4,30,0
"mean_height_male",175.552119700748,174.8,176.5,0
"mean_height_female",161.864578111947,161.3,162.9,0
"obesity_proportion",0.3375,0.28,0.42,0
"measured_hypertension_proportion",0.58375,0.5,0.75,0
"diagnosed_hypertension_proportion",0.3375,0.32,0.58,0
"prediabetes_proportion",0.30625,0.18,0.36,0
"type2_diabetes_proportion",0.0816666666666667,0.08,0.24,0
"raised_cholesterol_proportion",0.576666666666667,0.45,0.7,0
"longstanding_condition_proportion",0.662916666666667,0.6,0.82,0
"multimorbidity_mean",1.77958333333333,1.6,3.5,0
"chronic_kidney_disease_proportion",0.257916666666667,0.16,0.42,0
"atrial_fibrillation_proportion",0.1425,0.04,0.16,0
"copd_proportion",0.0783333333333333,0.07,0.22,0
"dementia_cognitive_impairment_proportion",0.0904166666666667,0.03,0.12,0
"moderate_or_severe_frailty_proportion",0.36,0.12,0.36,0
"severe_frailty_proportion",0.05375,0.02,0.11,0
"polypharmacy_5plus_proportion",0.285833333333333,0.2,0.55,0
"high_cardiovascular_risk_proportion",0.309583333333333,0.25,0.48,0
"hospital_admission_5y_proportion",0.432916666666667,0.28,0.6,0
"mortality_5y_proportion",0.08375,0.07,0.16,0
"mean_mortality_risk_5y_pct",7.907875,7,16,0
"lifestyle_program_proportion",0.2025,0.14,0.32,0
"corr_age_sbp",0.289867812667323,0.15,0.38,0
"corr_bmi_glucose",0.374437489566383,0.15,0.42,0
"corr_exercise_heart_rate",-0.194676688341692,-0.32,-0.08,0
"corr_hdl_triglycerides",-0.338060213080072,-0.55,-0.18,0
"corr_age_mortality_risk",0.6671293119619,0.45,0.82,0
"corr_multimorbidity_mortality_risk",0.705209669207157,0.25,0.75,0
"or_current_smoker_hypertension",1.25997807769925,1,1.7,0
"or_obesity_prediabetes",2.01089211684807,1.4,3.4,0
"or_ckd_mortality",3.20297083686948,1.4,4.8,0
"or_severe_frailty_mortality",9.24792094292909,2,10,0
"imd_diabetes_difference",0.0967883342279477,0.04,0.15,0
"ethnic_prediabetes_ratio",1.26260330578512,1.2,2.5,0
"median_crp_ratio_current_vs_never",1.26153846153846,1.05,1.75,0
"blood_group_vs_prediabetes_pvalue",0.456028943494053,0.05,1,0
"hba1c_missing_proportion",0.0416666666666667,0.03,0.09,0
"crp_missing_proportion",0.03875,0.03,0.1,0
"retention_24m",0.755,0.55,0.86,0
"retention_60m",0.574166666666667,0.3,0.66,0
"mean_weight_change_24m",-0.20358719646799,-0.6,0.6,0
"program_mean_weight_change_24m",-2.54489247311828,-3.2,-0.5,0
