"theme","variables","method","n_used","statistic","estimate","p_value","details"
"Correlation","age_years vs systolic_bp_mmHg","Pearson correlation",2400,"r",0.0927910403935939,5.28178995724132e-06,""
"Correlation","age_years vs diastolic_bp_mmHg","Pearson correlation",2400,"r",0.30920738161873,2.46053299222263e-54,""
"Correlation","bmi_kg_m2 vs fasting_glucose_mmol_L","Pearson correlation",2400,"r",0.374003615743325,1.49647481565754e-80,""
"Correlation","bmi_kg_m2 vs hba1c_mmol_mol","Pearson correlation",2300,"r",0.288746671315652,2.07541989974638e-45,""
"Correlation","weekly_exercise_min vs resting_heart_rate_bpm","Pearson correlation",2400,"r",-0.190549355093665,4.66316832152677e-21,""
"Correlation","hdl_cholesterol_mmol_L vs triglycerides_mmol_L","Pearson correlation",2342,"r",-0.338060213080072,1.04957526746151e-63,""
"Correlation","age_years vs mortality_risk_5y_pct","Pearson correlation",2400,"r",0.666970773316002,8.62241282456964e-309,""
"Correlation","multimorbidity_count vs mortality_risk_5y_pct","Pearson correlation",2400,"r",0.705368940167817,0,""
"Correlation","frailty_index vs mortality_risk_5y_pct","Pearson correlation",2400,"r",0.755440321312103,0,""
"Group comparison","sex_at_birth vs systolic_bp_mmHg","Two-sample t-test (Male - Female)",2397,"mean difference",2.02097144074486,0.130173344616474,"Female mean=138.530; Male mean=140.551"
"Non-parametric comparison","smoking_status vs crp_mg_L","Kruskal-Wallis test",2307,"chi-squared",49.095216390779,1.24497077101247e-10,"Never median=1.950; Former median=1.960; Current median=2.460; Currnt median=2.550"
"Binary association","obesity vs prediabetes","Odds ratio for obesity Yes vs No",2400,"odds ratio",2.00573706466992,5.08858965147499e-14,"Yes prevalence when exposed=40.7%; when unexposed=25.5%"
"Binary association","obesity vs type2_diabetes","Odds ratio for obesity Yes vs No",2400,"odds ratio",3.46947755136913,2.44233167826092e-16,"Yes prevalence when exposed=14.9%; when unexposed=4.8%"
"Binary association","diagnosed_hypertension vs high_cardiovascular_risk","Odds ratio for diagnosed hypertension Yes vs No",2400,"odds ratio",1.92614803314566,1.06649274334469e-12,"Yes prevalence when exposed=40.5%; when unexposed=26.1%"
"Binary association","family_history_diabetes vs type2_diabetes","Odds ratio for family history diabetes Yes vs No",2400,"odds ratio",2.37140035326964,1.01095039978828e-08,"Yes prevalence when exposed=12.8%; when unexposed=5.8%"
"Binary association","smoking_status vs diagnosed_hypertension","Odds ratio for current smoking vs other smoking categories",2400,"odds ratio",1.25067529150452,0.0703705360679352,"Yes prevalence when exposed=38.1%; when unexposed=33.0%"
"Binary association","chronic_kidney_disease vs died_during_followup","Odds ratio for CKD Yes vs No",2400,"odds ratio",3.20297083686948,2.52083767643786e-14,"Yes prevalence when exposed=16.2%; when unexposed=5.7%"
"Binary association","frailty_category vs died_during_followup","Odds ratio for severe frailty vs other frailty categories",2400,"odds ratio",9.24792094292909,3.24526206783056e-24,"Yes prevalence when exposed=39.5%; when unexposed=6.6%"
"Binary association","care_home_resident vs died_during_followup","Odds ratio for care-home residence Yes vs No",2400,"odds ratio",4.53659180313447,2.11521967949432e-12,"Yes prevalence when exposed=25.6%; when unexposed=7.1%"
"Categorical association","blood_group vs prediabetes","Chi-square test",2400,"Cramer's V",0.0329667895514748,0.456028943494053,""
"Categorical association","imd_quintile vs type2_diabetes","Chi-square test",2400,"Cramer's V",0.136559680973605,1.62600875749173e-08,""
"Categorical association","frailty_category vs died_during_followup","Chi-square test",2400,"Cramer's V",0.319183965490117,1.00827232379945e-52,""
"Non-parametric comparison","self_rated_health vs crp_mg_L","Kruskal-Wallis test",2266,"chi-squared",121.992816131049,2.94543614358235e-23,"Very bad median=2.345; Bad median=1.940; Fair median=1.790; Good median=1.770; Very good median=1.580; very good median=1.990; Very Good median=1.490; Very good  median=1.540"
"Repeated measures","weight_kg visit_0 vs visit_2","Paired t-test (visit_2 - visit_0)",1812,"mean change",-0.20358719646799,0.000449305013558229,"visit_0 mean=80.757; visit_2 mean=80.553"
"Repeated measures","systolic_bp_mmHg visit_0 vs visit_2","Paired t-test (visit_2 - visit_0)",1812,"mean change",0.772626931567329,4.36030715010498e-06,"visit_0 mean=138.403; visit_2 mean=139.176"
"Repeated measures","weight_kg visit_0 vs visit_5","Paired t-test (visit_5 - visit_0)",1378,"mean change",-0.742307692307692,4.12509734486415e-14,"visit_0 mean=79.944; visit_5 mean=79.201"
"Programme comparison","lifestyle_program_enrolled vs weight_kg change","Two-sample t-test on change scores (Yes - No)",1812,"mean difference in change",-2.94614247311828,1.01217458624253e-84,"No mean change=0.401; Yes mean change=-2.545"
