"table_name","variable_name","label","data_type","units","statistic","value","text_value"
"baseline","participant_id","Unique participant identifier","identifier","none","Rows",2400,
"baseline","participant_id","Unique participant identifier","identifier","none","Non-missing n",2400,
"baseline","participant_id","Unique participant identifier","identifier","none","Missing n",0,
"baseline","participant_id","Unique participant identifier","identifier","none","Missing %",0,
"baseline","participant_id","Unique participant identifier","identifier","none","Unique values",2400,
"baseline","participant_id","Unique participant identifier","identifier","none","Duplicate values",0,
"baseline","site_code","Recruiting clinic site in England","categorical","none","Rows",2400,
"baseline","site_code","Recruiting clinic site in England","categorical","none","Non-missing n",2400,
"baseline","site_code","Recruiting clinic site in England","categorical","none","Missing n",0,
"baseline","site_code","Recruiting clinic site in England","categorical","none","Missing %",0,
"baseline","site_code","Recruiting clinic site in England","categorical","none","Levels observed",5,
"baseline","site_code","Recruiting clinic site in England","categorical","none","Mode count",700,
"baseline","site_code","Recruiting clinic site in England","categorical","none","Mode percent",29.1666666666667,
"baseline","site_code","Recruiting clinic site in England","categorical","none","Mode level",,"Birmingham"
"baseline","imd_quintile","Index of Multiple Deprivation quintile (1 least deprived, 5 most deprived)","ordered integer","quintile","Rows",2400,
"baseline","imd_quintile","Index of Multiple Deprivation quintile (1 least deprived, 5 most deprived)","ordered integer","quintile","Non-missing n",2400,
"baseline","imd_quintile","Index of Multiple Deprivation quintile (1 least deprived, 5 most deprived)","ordered integer","quintile","Missing n",0,
"baseline","imd_quintile","Index of Multiple Deprivation quintile (1 least deprived, 5 most deprived)","ordered integer","quintile","Missing %",0,
"baseline","imd_quintile","Index of Multiple Deprivation quintile (1 least deprived, 5 most deprived)","ordered integer","quintile","Mean",3.02583333333333,
"baseline","imd_quintile","Index of Multiple Deprivation quintile (1 least deprived, 5 most deprived)","ordered integer","quintile","SD",1.41338777386294,
"baseline","imd_quintile","Index of Multiple Deprivation quintile (1 least deprived, 5 most deprived)","ordered integer","quintile","Median",3,
"baseline","imd_quintile","Index of Multiple Deprivation quintile (1 least deprived, 5 most deprived)","ordered integer","quintile","IQR",2,
"baseline","imd_quintile","Index of Multiple Deprivation quintile (1 least deprived, 5 most deprived)","ordered integer","quintile","Min",1,
"baseline","imd_quintile","Index of Multiple Deprivation quintile (1 least deprived, 5 most deprived)","ordered integer","quintile","Q1",2,
"baseline","imd_quintile","Index of Multiple Deprivation quintile (1 least deprived, 5 most deprived)","ordered integer","quintile","Q3",4,
